Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Exceptions,Code Size,Gen0,Completed Work Items,Lock Contentions,Gen1,Gen2,Allocated
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",8,150.31 ns,0.828 ns,0.775 ns,0.200 ns,149.09 ns,149.71 ns,150.39 ns,151.03 ns,151.30 ns,"6,652,973.9",0.8281 ns,15.00,1.462,2.000,-0.1101,12,*,No,0.0000,"1,013 B",0.0024,0.0000,0.0000,0.0000,0.0000,224 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",16,259.33 ns,1.079 ns,1.009 ns,0.261 ns,258.09 ns,258.53 ns,259.11 ns,259.96 ns,261.48 ns,"3,856,160.1",1.0790 ns,15.00,2.143,2.000,0.5760,17,*,No,0.0000,"1,013 B",0.0043,0.0000,0.0000,0.0000,0.0000,416 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",32,415.89 ns,1.441 ns,1.204 ns,0.334 ns,414.11 ns,415.17 ns,415.61 ns,416.83 ns,417.62 ns,"2,404,471.0",1.4415 ns,13.00,1.443,2.000,-0.1665,24,*,No,0.0000,"1,013 B",0.0086,0.0000,0.0000,0.0000,0.0000,800 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",64,805.44 ns,2.385 ns,2.231 ns,0.576 ns,802.46 ns,803.75 ns,804.94 ns,807.01 ns,809.26 ns,"1,241,563.9",2.3852 ns,15.00,1.724,2.000,0.4148,33,*,No,0.0000,"1,013 B",0.0172,0.0000,0.0000,0.0000,0.0000,1568 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",128,"1,692.07 ns",5.887 ns,5.507 ns,1.422 ns,"1,683.84 ns","1,688.66 ns","1,690.68 ns","1,695.28 ns","1,703.44 ns","590,993.0",5.8869 ns,15.00,2.184,2.000,0.2951,40,*,No,0.0000,"1,013 B",0.0324,0.0000,0.0000,0.0000,0.0000,3104 B
'Combine Strings: ConcatStrings',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**NEW**,Strings",256,"3,222.45 ns",9.424 ns,8.815 ns,2.276 ns,"3,209.83 ns","3,215.95 ns","3,220.77 ns","3,227.96 ns","3,240.42 ns","310,322.7",9.4238 ns,15.00,2.139,2.000,0.5311,47,*,No,0.0000,"1,013 B",0.0648,0.0000,0.0000,0.0000,0.0000,6176 B
'Combine Strings: SB.Append() + foreach()',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",2,75.98 ns,0.863 ns,0.674 ns,0.194 ns,74.45 ns,75.71 ns,76.01 ns,76.29 ns,77.07 ns,"13,161,699.7",0.8629 ns,12.00,3.036,2.000,-0.5495,4,*,No,0.0000,"1,179 B",0.0029,0.0000,0.0000,0.0000,0.0000,272 B
'Combine Strings: SB.Append() + foreach()',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",4,121.64 ns,2.077 ns,1.943 ns,0.502 ns,118.40 ns,120.68 ns,121.57 ns,122.57 ns,124.89 ns,"8,220,851.3",2.0767 ns,15.00,1.936,2.000,0.0107,9,*,No,0.0000,"1,181 B",0.0048,0.0000,0.0000,0.0000,0.0000,448 B
'Combine Strings: SB.Append() + foreach()',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",8,181.82 ns,2.087 ns,1.952 ns,0.504 ns,178.24 ns,180.40 ns,182.40 ns,183.24 ns,185.17 ns,"5,499,904.8",2.0873 ns,15.00,1.845,2.000,-0.1478,14,*,No,0.0000,"1,185 B",0.0079,0.0000,0.0000,0.0000,0.0000,728 B
'Combine Strings: SB.Append() + foreach()',Job-WWXGEI,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,"Collections,**FOR COMPARISON**,Strings",16,264.53 ns,1.903 ns,1.780 ns,0.460 ns,262.12 ns,263.04 ns,264.05 ns,265.69 ns,267.73 ns,"3,780,226.3",1.9031 ns,15.00,1.764,2.000,0.3987,18,*,No,0.0000,"1,192 B",0.0129,0.0000,0.0000,0.0000,0.0000,1216 B
