Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Gen0,Exceptions,Completed Work Items,Lock Contentions,Allocated
GeneratePhoneNumber,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"162,312.92 ns","1,005.687 ns",940.720 ns,242.893 ns,"162,408.17 ns","161,075.31 ns","161,486.49 ns","162,882.54 ns","164,509.61 ns","6,160.9","1,005.6866 ns",15.00,2.573,2.000,0.6143,18,*,No,475 B,0.4883,0.0000,0.0000,0.0000,51282 B
GenerateRandomFileName,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,378.61 ns",5.630 ns,5.267 ns,1.360 ns,"1,378.98 ns","1,371.04 ns","1,374.85 ns","1,381.79 ns","1,389.81 ns","725,370.3",5.6304 ns,15.00,2.256,2.000,0.2301,10,*,No,582 B,0.0019,0.0000,0.0000,0.0000,296 B
GenerateRelativeUrl,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"6,669.41 ns",45.498 ns,42.559 ns,10.989 ns,"6,659.31 ns","6,620.42 ns","6,633.51 ns","6,699.10 ns","6,738.36 ns","149,938.2",45.4984 ns,15.00,1.596,2.000,0.4992,15,*,No,570 B,0.0000,0.0000,0.0000,0.0000,473 B
GenerateTempFile,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"422,449.50 ns","16,315.294 ns","46,548.451 ns","4,801.106 ns","400,157.69 ns","371,921.48 ns","395,350.23 ns","451,520.21 ns","538,809.96 ns","2,367.1","16,315.2936 ns",94.00,3.253,2.897,1.2755,21,*,No,417 B,0.0000,0.0000,0.0000,0.0000,2561 B
GenerateUrl,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"8,568.92 ns",72.700 ns,64.446 ns,17.224 ns,"8,576.52 ns","8,465.94 ns","8,514.82 ns","8,618.77 ns","8,672.34 ns","116,700.9",72.6995 ns,14.00,1.567,2.000,-0.0873,16,*,No,276 B,0.0000,0.0000,0.0000,0.0000,861 B
GenerateUrlHostName,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,851.44 ns",6.062 ns,5.671 ns,1.464 ns,"1,849.60 ns","1,843.96 ns","1,847.40 ns","1,856.46 ns","1,862.59 ns","540,121.5",6.0622 ns,15.00,1.845,2.000,0.4835,13,*,No,280 B,0.0019,0.0000,0.0000,0.0000,205 B
GenerateUrlHostNameNoProtocol,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,867.41 ns",7.647 ns,6.779 ns,1.812 ns,"1,866.14 ns","1,857.55 ns","1,861.35 ns","1,872.94 ns","1,877.97 ns","535,501.9",7.6471 ns,14.00,1.439,2.000,0.0128,13,*,No,339 B,0.0000,0.0000,0.0000,0.0000,120 B
GenerateUrlHostNameNoSubDomain,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,129.99 ns,0.886 ns,0.829 ns,0.214 ns,129.68 ns,128.98 ns,129.41 ns,130.65 ns,132.05 ns,"7,692,614.1",0.8860 ns,15.00,2.992,2.000,0.8948,5,*,No,239 B,0.0000,0.0000,0.0000,0.0000,0 B
GenerateUrlPart,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,667.64 ns",7.505 ns,6.653 ns,1.778 ns,"1,665.88 ns","1,659.37 ns","1,662.50 ns","1,670.78 ns","1,683.54 ns","599,648.0",7.5046 ns,14.00,2.840,2.000,0.7957,12,*,No,302 B,0.0000,0.0000,0.0000,0.0000,102 B
GenerateWord,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"1,237.50 ns",6.035 ns,5.040 ns,1.398 ns,"1,239.35 ns","1,229.61 ns","1,234.00 ns","1,241.63 ns","1,243.42 ns","808,080.0",6.0352 ns,13.00,1.309,2.000,-0.2377,9,*,No,375 B,0.0000,0.0000,0.0000,0.0000,48 B
GenerateWords,Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,"10,577.93 ns",53.129 ns,47.098 ns,12.587 ns,"10,565.29 ns","10,525.89 ns","10,548.71 ns","10,596.41 ns","10,677.85 ns","94,536.5",53.1294 ns,14.00,2.483,2.000,0.8255,17,*,No,705 B,0.0000,0.0000,0.0000,0.0000,544 B
