Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Count,Mean,Error,StdDev,StdErr,Median,Min,Q1,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Code Size,Exceptions,Completed Work Items,Lock Contentions,Gen0,Allocated
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,256,"102,546,708.00 ns","673,586.797 ns","630,073.508 ns","162,684.280 ns","102,491,700.00 ns","101,610,880.00 ns","102,014,690.00 ns","103,065,950.00 ns","103,632,940.00 ns",9.7517,"673,586.7968 ns",15.00,1.611,2.000,0.2237,23,*,No,709 B,0.0000,0.0000,0.0000,0.0000,1086013 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,512,"205,097,650.00 ns","1,269,693.742 ns","1,125,550.430 ns","300,816.006 ns","204,699,816.67 ns","203,568,633.33 ns","204,409,841.67 ns","205,638,975.00 ns","207,653,266.67 ns",4.8757,"1,269,693.7417 ns",14.00,2.652,2.000,0.8294,26,*,No,709 B,0.0000,0.0000,0.0000,0.0000,2154803 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,1024,"410,357,492.31 ns","2,831,426.528 ns","2,364,369.387 ns","655,758.081 ns","409,334,300.00 ns","407,216,000.00 ns","408,863,100.00 ns","411,539,100.00 ns","415,939,300.00 ns",2.4369,"2,831,426.5280 ns",13.00,2.839,2.000,0.8123,29,*,No,734 B,0.0000,0.0000,0.0000,0.0000,4376192 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,2048,"812,769,050.00 ns","2,829,640.269 ns","2,508,402.395 ns","670,398.739 ns","813,474,450.00 ns","808,667,900.00 ns","810,710,050.00 ns","814,147,250.00 ns","816,552,700.00 ns",1.2304,"2,829,640.2687 ns",14.00,1.731,2.000,-0.3117,32,*,No,734 B,0.0000,0.0000,0.0000,0.0000,8659112 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,4096,"1,662,902,857.14 ns","4,334,559.697 ns","3,842,474.270 ns","1,026,944.445 ns","1,662,864,700.00 ns","1,655,110,200.00 ns","1,661,054,475.00 ns","1,664,092,375.00 ns","1,670,346,300.00 ns",0.6014,"4,334,559.6975 ns",14.00,2.661,2.000,0.0443,34,*,No,734 B,0.0000,0.0000,0.0000,0.0000,17371656 B
'GeneratePersonRefCollection: Person',Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,**NEW**,8192,"3,259,399,300.00 ns","15,230,992.854 ns","12,718,568.848 ns","3,527,496.318 ns","3,256,791,700.00 ns","3,245,753,800.00 ns","3,248,514,800.00 ns","3,265,696,000.00 ns","3,285,879,200.00 ns",0.3068,"15,230,992.8543 ns",13.00,2.029,2.000,0.6383,35,*,No,734 B,0.0000,0.0000,0.0000,0.0000,34588416 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",64,18.17 ns,0.208 ns,0.194 ns,0.050 ns,18.18 ns,17.60 ns,18.15 ns,18.28 ns,18.47 ns,"55,026,526.0607",0.2076 ns,15.00,5.675,2.000,-1.4880,1,*,No,483 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",128,18.95 ns,0.101 ns,0.089 ns,0.024 ns,18.94 ns,18.83 ns,18.88 ns,18.99 ns,19.15 ns,"52,771,341.9611",0.1010 ns,14.00,2.442,2.000,0.5760,2,*,No,483 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",256,18.63 ns,0.106 ns,0.099 ns,0.026 ns,18.61 ns,18.48 ns,18.56 ns,18.70 ns,18.81 ns,"53,672,159.1759",0.1059 ns,15.00,1.796,2.000,0.3024,2,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
Coordinate:OrderBy(),Job-JBKLDT,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Tester.BenchmarkTests,"**NEW**,Value Type",512,19.33 ns,0.068 ns,0.064 ns,0.017 ns,19.33 ns,19.22 ns,19.28 ns,19.38 ns,19.43 ns,"51,744,059.0091",0.0684 ns,15.00,1.582,2.000,-0.0208,3,*,No,445 B,0.0000,0.0000,0.0000,0.0006,56 B
