Method,Job,AnalyzeLaunchVariance,EvaluateOverhead,MaxAbsoluteError,MaxRelativeError,MinInvokeCount,MinIterationTime,OutlierMode,Affinity,EnvironmentVariables,Jit,LargeAddressAware,Platform,PowerPlanMode,Runtime,AllowVeryLargeObjects,Concurrent,CpuGroups,Force,HeapAffinitizeMask,HeapCount,NoAffinitize,RetainVm,Server,Arguments,BuildConfiguration,Clock,EngineFactory,NuGetReferences,Toolchain,IsMutator,InvocationCount,IterationCount,IterationTime,LaunchCount,MaxIterationCount,MaxWarmupIterationCount,MemoryRandomization,MinIterationCount,MinWarmupIterationCount,RunStrategy,UnrollFactor,WarmupCount,Namespace,Categories,Mean,Error,StdDev,StdErr,Min,Q1,Median,Q3,Max,Op/s,CI99.9% Margin,Iterations,Kurtosis,MValue,Skewness,Rank,LogicalGroup,Baseline,Gen0,Exceptions,Code Size,Completed Work Items,Lock Contentions,Allocated
'Looping Collection: Normal StringBuilder',Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,Strings,"3,930.6 ns",20.21 ns,17.92 ns,4.79 ns,"3,900.7 ns","3,915.7 ns","3,934.3 ns","3,938.1 ns","3,960.1 ns","254,415.2",20.21 ns,14.00,1.881,2.000,-0.0222,1,*,No,0.1602,0.0000,"2,613 B",0.0000,0.0000,14.75 KB
GetPropertyValues,Job-VVETEA,False,True,Default,Default,Default,Default,Default,111111111111,Empty,RyuJit,Default,X64,8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c,.NET 8.0,False,True,False,True,Default,Default,False,False,True,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,Default,16,Default,DotNetTips.Spargine.Core.BenchmarkTests,Reflection,"398,225.9 ns","1,660.97 ns","1,472.41 ns",393.52 ns,"395,908.9 ns","397,376.0 ns","398,025.6 ns","399,500.6 ns","400,608.3 ns","2,511.1","1,660.97 ns",14.00,1.614,2.000,0.0590,2,*,No,0.0000,0.0000,"4,148 B",0.0000,0.0000,6.67 KB
